"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"207_2379",207,"2379","Eucera","hamata","female",3.55,1,3.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2070_NAT.CIG2012_1110",2070,"NAT.CIG2012_1110","Lasioglossum","cressonii","female",NULL,NULL,1.446,1.821182466,NULL,NULL,"short",0.994,1.079,0.494,NULL,1.573,"BGJ","CIG","BJ_0206",NULL,"",NULL,NULL
"2071_NAT.CIG2012_1113",2071,"NAT.CIG2012_1113","Lasioglossum","ephialtum","male",NULL,NULL,1.067,1.417058108,NULL,NULL,"short",0.881,0.95,0.413,NULL,1.363,"GN","CIG","DC_0344",NULL,"",NULL,NULL
"2072_NAT.CIG2012_1114",2072,"NAT.CIG2012_1114","Lasioglossum","imitatum","female",NULL,NULL,0.847,1.299421268,NULL,NULL,"short",NULL,0.806,0.425,NULL,1.231,"GN","CIG","DC_0229",NULL,"",NULL,NULL
"2073_NAT.CIG2012_1116",2073,"NAT.CIG2012_1116","Lasioglossum","leucocomum","female",NULL,NULL,1.115,1.369403862,NULL,NULL,"short",0.937,0.962,0.53,NULL,1.492,"GN","CIG","DC_0465",NULL,"",NULL,NULL
"2074_NAT.CIG2012_1117",2074,"NAT.CIG2012_1117","Lasioglossum","leucocomum","female",NULL,NULL,1.395,1.615271159,NULL,NULL,"short",1.13,1.168,0.609,NULL,1.777,"BGJ","CIG","BJ_0261",NULL,"",NULL,NULL
"2075_NAT.CIG2012_1118",2075,"NAT.CIG2012_1118","Lasioglossum","leucocomum","female",NULL,NULL,1.091,1.448685676,NULL,NULL,"short",1.043,1.051,0.589,NULL,1.64,"GN","CIG","JB_0063",NULL,"",NULL,NULL
"2076_NAT.CIG2012_1119",2076,"NAT.CIG2012_1119","Lasioglossum","leucocomum","male",NULL,NULL,0.856,NULL,NULL,NULL,"short",0.896,1.074,0.34,NULL,1.414,"GN","CIG","JB_0097",NULL,"",NULL,NULL
"2077_NAT.CIG2012_1122",2077,"NAT.CIG2012_1122","Lasioglossum","pectorale","female",NULL,NULL,1.435,1.747367776,NULL,NULL,"short",1.228,1.205,0.725,NULL,1.93,"GN","CIG","DC_0380",NULL,"",NULL,NULL
"2078_NAT.CIG2012_1123",2078,"NAT.CIG2012_1123","Lasioglossum","pectorale","female",NULL,NULL,1.405,1.766374973,NULL,NULL,"short",1.239,1.233,0.852,NULL,2.085,"GN","CIG","DC_0381",NULL,"",NULL,NULL
"2079_NAT.CIG2012_1125",2079,"NAT.CIG2012_1125","Lasioglossum","pectorale","female",NULL,NULL,1.379,1.720832638,NULL,NULL,"short",1.17,1.067,0.838,NULL,1.905,"GN","CIG","DC_0179",NULL,"",NULL,NULL
