uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,
XCIG2013_3470,2013_URWAT,2013,2,7/19/13,URWA,AM,2,T,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,Monarda_fistulosa,yes,SM,40.703892,-74.700793,,NULL,,,
XCIG2013_3471,2013_URWAT,2013,2,7/19/13,URWA,AM,2,T,,Augochlorella,aurata_seeTN,Augochlorella_aurata_seeTN,,f,J_Gibbs,cf,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,Monarda_fistulosa,yes,SM,40.703892,-74.700793,weird_colors,NULL,,,
XCIG2013_5687,2013_URWAC,2013,4,10/1/13,URWA,PM,2,C,,Augochlorella,aurata,Augochlorella_aurata,,f,J_Gibbs,,0000-00-00,bee,,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5688,2013_URWAC,2013,4,10/1/13,URWA,PM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Golden_black_striped_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5689,2013_URWAC,2013,4,10/1/13,URWA,PM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Shiny_black_butt_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5690,2013_URWAC,2013,4,10/1/13,URWA,AM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Golden_black_striped_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5691,2013_URWAC,2013,4,10/1/13,URWA,AM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Golden_black_striped_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5692,2013_URWAC,2013,4,10/1/13,URWA,AM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Golden_black_striped_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5694,2013_URWAC,2013,4,10/1/13,URWA,AM,2,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Golden_black_striped_fly___,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_5695,2013_URWAC,2013,4,10/1/13,URWA,AM,2,C,,Augochlora,pura,Augochlora_pura,,f,J_Gibbs,,0000-00-00,bee,,SYRA5,Symphyotrichum,racemosum,Symphyotrichum,racemosum,Symphyotrichum_racemosum,no,MR,40.701794,-74.700673,,1,,,
